# Jiang, P. et. al. 2002.01786 Table III
#1050 1100 1150 1200 1250 1300 1350 1400 1450
-1.26	2.03 -0.43	1.99 -2.68	1.94 0.12	1.67 0.96	1.60 1.53	1.53 1.09	1.36 1.00	1.11 0.27	0.91
5.96	0.03 5.95	0.03 5.98	0.03 5.75	0.03 5.77	0.03 5.74	0.02 5.64	0.02 5.57	0.02 5.53	0.02
-1.39	0.04 -1.43	0.03 -1.28	0.04 -1.24	0.04 -1.24	0.03 -1.18	0.04 -1.09	0.04 -1.06	0.03 -1.01	0.03
14.36	3.80 15.37	3.39 15.65	3.78 15.20	4.85 18.06	2.92 17.97	2.67 19.34	2.49 16.72	2.52 18.57	2.65
6.01	0.06 5.98	0.05 6.04	0.06 5.81	0.08 5.86	0.05 5.75	0.04 5.72	0.04 5.69	0.04 5.60	0.04
-1.79	0.04 -1.83	0.04 -1.74	0.03 -1.73	0.03 -1.78	0.03 -1.74	0.03 -1.72	0.03 -1.66	0.03 -1.58	0.03
7.68	5.51 2.98	4.73 4.16	4.57 3.38	6.44 2.45	4.86 4.27	3.39 5.99	3.36 5.03	3.28 8.23	3.05
5.90	0.09 5.94	0.08 6.00	0.07 5.81	0.10 5.80	0.08 5.67	0.06 5.66	0.05 5.61	0.05 5.45	0.05
-1.59	0.04 -1.59	0.03 -1.55	0.03 -1.35	0.05 -1.36	0.03 -1.31	0.03 -1.35	0.02 -1.27	0.02 -1.18	0.02
-3.00	5.82 -2.08	4.75 1.33	4.29 4.98	5.10 8.50	4.02 -0.98	3.17 2.94	3.06 2.49	2.71 2.77	2.60
6.06	0.09 5.96	0.08 5.91	0.07 5.82	0.08 5.76	0.06 5.70	0.05 5.58	0.05 5.53	0.04 5.48	0.04
-1.56	0.05 -1.49	0.04 -1.45	0.05 -1.56	0.05 -1.69	0.03 -1.35	0.04 -1.40	0.03 -1.34	0.03 -1.27	0.03
-1.33	4.57 0.41	4.05 2.41	4.07 -1.35	4.89 2.44	3.87 2.60	3.22 4.14	3.11 5.50	2.95 5.83	2.77
6.18	0.08 6.12	0.07 6.22	0.07 6.23	0.08 6.04	0.06 6.00	0.05 5.94	0.05 5.85	0.05 5.71	0.05
-1.49	0.04 -1.59	0.03 -1.53	0.04 -1.54	0.07 -1.54	0.03 -1.57	0.02 -1.59	0.03 -1.53	0.03 -1.44	0.03
0.35	3.81 -0.57	3.77 4.27	3.61 3.01	4.84 7.37	4.78 2.58	2.61 4.43	2.19 5.43	2.22 5.53	2.19
5.91	0.06 5.98	0.06 5.91	0.06 5.76	0.08 5.73	0.08 5.78	0.04 5.64	0.04 5.59	0.04 5.53	0.04
-1.56	0.04 -1.67	0.04 -1.65	0.04 -1.57	0.04 -1.64	0.03 -1.68	0.02 -1.61	0.03 -1.60	0.04 -1.51	0.04
1.33	2.89 -0.59	2.55 -3.57	3.01 3.71	5.82 -1.46	2.36 -2.34	1.73 -2.80	1.71 -3.55	1.68 -2.20	1.64
5.62	0.05 5.78	0.04 5.83	0.05 5.59	0.09 5.68	0.04 5.61	0.03 5.53	0.03 5.50	0.03 5.46	0.03
-1.42	0.04 -1.53	0.03 -1.34	0.04 -1.53	0.03 -1.42	0.03 -1.32	0.03 -1.27	0.03 -1.21	0.03 -1.13	0.03
9.81	3.39 3.14	3.06 0.38	4.28 3.85	3.48 6.30	2.65 5.25	2.13 2.32	1.95 0.49	1.90 1.14	1.83
5.44	0.06 5.52	0.05 5.55	0.07 5.47	0.06 5.29	0.04 5.28	0.04 5.19	0.03 5.17	0.03 5.09	0.03
-1.58	0.04 -1.52	0.03 -1.46	0.03 -1.51	0.03 -1.41	0.02 -1.36	0.02 -1.28	0.02 -1.21	0.02 -1.14	0.02
-0.89	3.92 -4.49	3.39 -3.98	3.71 -7.57	4.51 -3.25	2.74 -0.30	2.47 -0.80	2.36 -1.44	2.17 -0.64	2.08
5.81	0.06 5.83	0.06 5.85	0.06 5.71	0.07 5.65	0.05 5.47	0.04 5.48	0.04 5.41	0.04 5.28	0.03
-1.54	0.02 -1.52	0.02 -1.41	0.02 -1.25	0.03 -1.33	0.02 -1.22	0.01 -1.21	0.02 -1.16	0.01 -1.08	0.02
-1.88	2.27 -5.55	2.09 -5.94	2.11 -1.53	2.53 -2.21	3.35 -0.75	1.52 -1.19	1.52 0.24	1.51 0.93	1.53
5.64	0.04 5.68	0.03 5.81	0.03 5.60	0.04 5.57	0.05 5.46	0.02 5.38	0.02 5.38	0.02 5.33	0.02
-1.37	0.02 -1.34	0.02 -1.34	0.02 -1.29	0.02 -1.20	0.02 -1.13	0.02 -1.11	0.02 -1.11	0.02 -1.05	0.02
11.82	2.94 6.55	2.78 5.01	3.51 10.73	3.34 9.32	2.79 8.64	2.51 10.22	2.15 9.32	2.21 11.03	2.24
5.70	0.05 5.88	0.04 5.92	0.06 5.67	0.05 5.69	0.04 5.61	0.04 5.48	0.03 5.43	0.04 5.30	0.04
-1.76	0.03 -1.75	0.03 -1.59	0.03 -1.60	0.04 -1.57	0.03 -1.50	0.03 -1.44	0.03 -1.36	0.03 -1.25	0.03
